,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,
38.8,2,0,1,3,3,5,3,0,8,38800
38.9,0,0,1,2,2,0,3,0,6,38900
39,1,0,1,2,3,0,4,0,0,39000
39.1,1,1,1,2,3,3,4,0,3,39100
39.2,0,0,2,1,4,3,1,1,1,39200
39.3,3,1,3,0,2,3,7,0,0,39300
39.4,0,3,2,0,7,0,4,1,0,39400
39.5,0,0,5,0,4,4,4,1,5,39500
39.6,2,0,1,2,2,0,2,0,2,39600
39.7,0,3,1,1,6,2,3,0,4,39700
39.8,3,2,4,2,1,1,2,1,4,39800
39.9,1,3,1,0,1,1,8,0,3,39900
40,3,2,1,5,2,1,2,0,2,40000
40.1,1,0,3,2,1,2,1,1,5,40100
40.2,2,1,2,1,3,3,2,0,3,40200
40.3,0,2,3,0,4,0,0,2,2,40300
40.4,1,3,1,4,3,1,2,0,5,40400
40.5,0,2,2,1,2,1,3,0,1,40500
40.6,2,1,3,2,3,3,2,1,1,40600
40.7,2,0,3,2,2,2,2,0,1,40700
40.8,1,2,1,2,2,0,2,0,3,40800
40.9,2,1,1,1,2,2,1,0,2,40900
41,3,1,4,3,4,1,0,0,2,41000
41.1,0,0,3,2,2,0,3,0,2,41100
41.2,4,0,2,1,5,0,1,0,3,41200
41.3,0,1,1,0,1,4,0,0,2,41300
41.4,1,0,3,1,4,1,2,0,0,41400
41.5,2,2,1,1,1,2,3,0,1,41500
41.6,1,0,2,0,4,2,4,0,1,41600
41.7,1,1,0,1,2,3,2,0,2,41700
41.8,3,0,1,3,3,1,8,0,2,41800
41.9,1,2,3,3,3,2,5,2,2,41900
42,2,0,1,1,0,3,0,0,2,42000
42.1,0,1,4,4,3,0,0,0,2,42100
42.2,3,0,0,3,2,2,0,0,3,42200
42.3,0,1,5,2,5,3,0,0,2,42300
42.4,1,0,2,5,2,1,2,1,2,42400
42.5,3,1,3,0,2,3,2,1,2,42500
42.6,2,1,2,2,5,4,2,4,4,42600
42.7,0,2,2,4,2,3,3,1,3,42700
42.8,2,3,0,0,4,5,3,1,5,42800
42.9,3,2,3,4,3,2,6,1,1,42900
43,0,1,4,1,4,4,3,1,5,43000
43.1,0,0,2,0,5,3,2,1,5,43100
43.2,1,0,1,0,3,2,1,1,2,43200
43.3,0,2,0,2,2,0,2,1,3,43300
43.4,2,0,2,3,3,2,2,0,5,43400
43.5,1,1,2,1,3,0,2,0,2,43500
43.6,1,3,1,2,0,0,5,1,2,43600
43.7,1,2,1,1,3,4,1,0,2,43700
43.8,3,1,4,2,2,3,0,2,2,43800
43.9,1,0,1,1,3,1,0,0,4,43900
44,4,2,1,4,4,2,1,1,3,44000
44.1,1,1,2,0,5,2,3,0,1,44100
44.2,0,0,1,3,3,2,2,0,2,44200
44.3,1,1,1,2,6,4,1,1,2,44300
44.4,3,2,0,2,4,1,1,1,3,44400
44.5,1,2,0,3,1,1,1,1,0,44500
44.6,0,1,2,4,4,3,3,1,2,44600
44.7,0,1,4,2,3,5,0,2,1,44700
44.8,0,0,3,0,1,3,3,0,1,44800
44.9,2,0,0,5,3,6,5,1,2,44900
45,1,1,2,1,3,2,2,2,4,45000
45.1,2,2,3,0,2,5,1,1,2,45100
45.2,1,0,0,1,6,3,2,0,3,45200
45.3,2,0,1,1,3,2,1,0,2,45300
45.4,0,2,1,2,2,2,0,1,0,45400
45.5,1,1,0,5,2,0,2,1,3,45500
45.6,4,0,5,1,5,2,2,0,4,45600
45.7,2,0,2,2,0,2,1,0,2,45700
45.8,1,0,2,1,4,2,2,0,2,45800
45.9,1,0,3,0,2,0,5,1,0,45900
46,1,0,1,2,2,2,3,1,2,46000
46.1,2,1,1,2,5,4,1,0,2,46100
46.2,2,1,1,2,1,3,3,0,2,46200
46.3,2,2,1,1,1,1,1,0,2,46300
46.4,1,1,0,2,2,2,3,1,0,46400
46.5,1,2,1,1,3,1,6,0,2,46500
46.6,0,2,3,3,3,3,2,0,1,46600
46.7,3,1,2,2,6,4,3,1,4,46700
46.8,2,1,1,1,2,3,1,0,8,46800
46.9,1,1,2,0,2,0,1,0,2,46900
47,1,1,4,3,6,3,1,0,4,47000
47.1,1,3,4,2,2,1,3,1,1,47100
47.2,2,4,1,2,2,1,3,1,3,47200
47.3,1,3,5,5,2,4,1,0,2,47300
47.4,2,1,0,4,1,0,6,0,2,47400
47.5,1,2,1,4,2,2,1,0,2,47500
47.6,1,0,3,1,5,1,2,0,1,47600
47.7,2,1,1,0,1,3,4,0,2,47700
47.8,0,1,1,1,2,1,4,0,1,47800
47.9,2,0,2,2,5,5,2,2,1,47900
48,0,2,1,1,3,0,2,0,1,48000
48.1,3,0,1,2,0,1,0,0,5,48100
48.2,1,0,2,0,1,4,4,2,3,48200
48.3,1,2,1,2,1,3,1,0,2,48300
48.4,2,1,2,0,1,2,19,1,3,48400
48.5,0,0,4,2,2,1,7,0,1,48500
48.6,4,2,3,0,5,1,1,0,1,48600
48.7,3,3,3,2,4,0,9,0,1,48700
48.8,2,0,2,1,0,2,8,2,4,48800
48.9,2,2,1,1,7,1,2,1,3,48900
49,1,1,0,1,1,0,2,0,4,49000
49.1,1,1,3,1,1,2,4,0,3,49100
49.2,0,1,0,1,1,2,7,1,0,49200
49.3,1,1,4,3,2,1,0,0,3,49300
49.4,2,0,2,2,2,1,1,0,2,49400
49.5,0,2,2,1,2,0,3,0,4,49500
49.6,0,0,2,0,1,2,2,1,2,49600
49.7,1,4,2,1,2,0,1,0,0,49700
49.8,2,0,0,1,1,3,0,0,0,49800
49.9,2,0,2,2,2,1,3,1,2,49900
50,2,1,3,1,0,1,1,0,4,50000
50.1,1,1,4,1,1,1,2,0,0,50100
50.2,1,0,5,1,2,1,3,0,2,50200
50.3,1,2,2,0,3,2,0,1,1,50300
50.4,0,0,5,0,6,2,2,0,2,50400
50.5,2,0,0,2,1,1,4,0,3,50500
50.6,0,1,2,1,6,1,1,0,2,50600
50.7,0,2,3,2,3,1,3,0,1,50700
50.8,1,0,1,0,5,0,2,2,1,50800
50.9,1,1,1,0,2,1,0,0,1,50900
51,1,3,1,0,5,3,3,0,4,51000
51.1,1,3,2,2,5,2,7,0,3,51100
51.2,1,0,0,1,1,1,3,1,0,51200
51.3,0,2,3,0,2,2,2,0,1,51300
51.4,1,2,0,1,3,4,1,1,3,51400
51.5,0,0,0,1,6,1,1,0,1,51500
51.6,1,0,3,1,8,3,0,0,2,51600
51.7,3,1,2,4,1,1,1,1,0,51700
51.8,1,0,3,2,2,0,5,0,3,51800
51.9,1,1,3,0,1,0,7,0,3,51900
52,1,0,2,3,5,1,2,0,2,52000
52.1,0,2,1,3,1,2,9,0,3,52100
52.2,0,1,0,3,2,2,7,0,3,52200
52.3,3,0,2,2,5,1,0,2,6,52300
52.4,3,1,4,2,1,3,4,0,1,52400
52.5,2,0,3,0,4,2,0,1,1,52500
52.6,1,1,0,4,4,0,3,0,0,52600
52.7,1,1,1,2,2,2,2,0,1,52700
52.8,0,1,5,0,2,2,5,1,0,52800
52.9,1,2,2,1,6,1,2,1,1,52900
53,0,2,3,0,0,3,2,0,1,53000
53.1,1,0,1,0,0,2,3,1,1,53100
53.2,1,2,3,2,1,1,6,0,2,53200
53.3,2,1,3,1,1,5,7,0,1,53300
53.4,0,0,3,4,0,0,1,1,4,53400
53.5,1,0,1,1,2,1,1,0,0,53500
53.6,1,2,1,2,4,1,3,0,1,53600
53.7,1,2,2,2,2,0,6,0,1,53700
53.8,2,0,1,0,4,3,51,1,4,53800
53.9,1,0,1,2,2,2,19,0,3,53900
54,1,3,0,1,3,3,3,0,5,54000
54.1,1,0,6,2,2,4,5,0,1,54100
54.2,2,1,1,0,3,7,2,1,1,54200
54.3,1,1,2,2,2,2,8,1,3,54300
54.4,0,2,2,0,2,4,0,0,2,54400
54.5,2,0,3,1,4,2,4,0,2,54500
54.6,0,1,2,0,3,1,3,1,1,54600
54.7,0,3,1,3,3,3,2,0,2,54700
54.8,0,2,0,1,5,1,1,1,0,54800
54.9,1,3,1,0,0,3,1,2,0,54900
55,0,1,0,0,3,2,21,0,0,55000
55.1,0,2,2,4,7,0,11,0,3,55100
55.2,1,2,2,2,3,2,7,2,0,55200
55.3,0,0,2,1,4,2,7,2,2,55300
55.4,2,1,1,3,4,2,6,1,3,55400
55.5,0,2,0,0,2,1,2,0,0,55500
55.6,1,1,1,1,5,1,2,0,1,55600
55.7,3,1,3,0,0,1,4,0,3,55700
55.8,3,1,2,3,4,1,3,0,3,55800
55.9,0,0,3,3,0,2,4,1,3,55900
